"","m_emp_id","f_emp_id","m_dept","f_dept","m_region","f_region","m_average","f_average","m_ann_sal","f_ann_sal","Suggst_Amt"
"1",28382,27130,"Sales & Marketing","Sales & Marketing",9,9,40.5438484461473,40.5467752234994,88753,88248,505
"2",43593,70958,"Sales & Marketing","Sales & Marketing",9,9,46.4492869306088,46.4492869306088,65539,53550,11989
"3",78162,70958,"Sales & Marketing","Sales & Marketing",9,9,46.4492869306088,46.4492869306088,146244,53550,92694
"4",17233,18968,"Sales & Marketing","Sales & Marketing",9,9,42.9584397616007,42.992496807152,127234,53597,73637
"5",18914,61236,"Sales & Marketing","Sales & Marketing",9,9,46.8723392933163,46.92395700298,141111,41731,99380
"6",6846,70958,"Sales & Marketing","Sales & Marketing",9,9,46.024638143891,46.4492869306088,101477,53550,47927
"7",77785,43324,"Analytics","Analytics",9,9,65.1551191996594,65.2761813537676,65389,64209,1180
"8",6646,61236,"Sales & Marketing","Sales & Marketing",9,9,46.8228501489996,46.92395700298,61935,41731,20204
"9",67807,18968,"Sales & Marketing","Sales & Marketing",9,9,42.6343656875266,42.992496807152,57331,53597,3734
"10",31679,61236,"Sales & Marketing","Sales & Marketing",9,9,46.7358450404427,46.92395700298,58257,41731,16526
"11",47070,59733,"Operations","Operations",8,8,55.4493933588761,55.8506279267773,139096,87518,51578
"12",43668,47319,"Operations","Operations",8,8,56.2771392081737,56.3944763729247,141501,91753,49748
"13",67228,46517,"Operations","Operations",8,8,51.3034802043423,51.5373563218391,125690,93301,32389
"14",67228,62036,"Operations","Operations",8,8,51.3034802043423,51.7089719029374,125690,74244,51446
"15",73446,76477,"Operations","Operations",8,8,50.2506385696041,50.6529374201788,103206,74612,28594
"16",19802,22479,"Operations","Operations",8,8,49.6886973180077,50.0119731800766,111990,87578,24412
"17",19802,45212,"Operations","Operations",8,8,49.6886973180077,50.1737441464453,111990,97205,14785
"18",77651,1135,"Operations","Operations",8,8,53.1800766283525,53.4328437633035,82066,75656,6410
"19",77651,45458,"Operations","Operations",8,8,53.1800766283525,53.5576309067688,82066,78625,3441
"20",63507,34467,"Procurement","Procurement",8,8,48.2468603661132,48.6680502341422,95534,94525,1009
"21",41451,47319,"Operations","Operations",8,8,56.3114623243934,56.3944763729247,122455,91753,30702
"22",28253,8149,"Procurement","Procurement",8,8,56.3963388676032,56.7882609621115,85230,67544,17686
"23",28253,31124,"Procurement","Procurement",8,8,56.3963388676032,56.9106534695615,85230,49134,36096
"24",75635,2725,"Procurement","Procurement",8,8,56.8414750957854,57.1695402298851,114257,99801,14456
"25",75635,31124,"Procurement","Procurement",8,8,56.8414750957854,56.9106534695615,114257,49134,65123
"26",75635,34894,"Procurement","Procurement",8,8,56.8414750957854,57.0647083865475,114257,67592,46665
"27",9050,34467,"Procurement","Procurement",8,8,48.2572371221796,48.6680502341422,111535,94525,17010
"28",67910,64759,"Sales & Marketing","Sales & Marketing",7,7,45.9283205619412,46.157141336739,60730,44045,16685
"29",65914,57748,"Sales & Marketing","Sales & Marketing",7,7,65.877767134951,65.9456151553853,77046,41361,35685
"30",50283,37091,"Sales & Marketing","Sales & Marketing",7,7,53.8609514687101,54.0490634312473,82231,42115,40116
"31",56236,33445,"Sales & Marketing","Sales & Marketing",7,7,58.87239250745,59.4396551724138,71537,53114,18423
"32",42856,827,"Sales & Marketing","Sales & Marketing",7,7,55.414005959983,55.8304065559813,115018,60353,54665
"33",42856,35857,"Sales & Marketing","Sales & Marketing",7,7,55.414005959983,55.6909855257556,115018,63429,51589
"34",50379,10431,"Sales & Marketing","Sales & Marketing",7,7,63.0773733503619,63.2763942103023,106133,68485,37648
"35",14580,38884,"Sales & Marketing","Sales & Marketing",7,7,42.8522775649212,42.9584397616007,104122,63735,40387
"36",18182,58450,"Sales & Marketing","Sales & Marketing",7,7,48.2266389953172,48.2888995317156,103787,61322,42465
"37",29037,23803,"Sales & Marketing","Sales & Marketing",7,7,56.2380268199234,56.5397509578544,99764,98283,1481
"38",29037,49273,"Sales & Marketing","Sales & Marketing",7,7,56.2380268199234,56.6666666666667,99764,53395,46369
"39",19908,37277,"Sales & Marketing","Sales & Marketing",7,7,57.2549489144317,57.6527245636441,137541,82659,54882
"40",19908,46328,"Sales & Marketing","Sales & Marketing",7,7,57.2549489144317,57.6258514261388,137541,72211,65330
"41",19908,47923,"Sales & Marketing","Sales & Marketing",7,7,57.2549489144317,57.7572903363133,137541,92309,45232
"42",19908,57718,"Sales & Marketing","Sales & Marketing",7,7,57.2549489144317,57.3057684120903,137541,81223,56318
