employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,ann_salary
62237,Sales & Marketing,9,Master's & above,m,other,1,27,5,2,0,44,58508
27130,Sales & Marketing,9,Master's & above,f,other,2,32,1,4,0,44,88248
61236,Sales & Marketing,9,Master's & above,f,sourcing,1,28,1,4,1,45,41731
24731,Sales & Marketing,9,Master's & above,f,other,1,28,1,1,0,46,62047
76338,Sales & Marketing,9,Master's & above,m,other,1,28,4,4,0,46,90871
3976,Sales & Marketing,9,Master's & above,m,other,2,33,1,6,0,46,112469
68390,Sales & Marketing,9,Master's & above,m,other,1,37,2,9,0,46,56183
5361,Sales & Marketing,9,Master's & above,m,other,1,36,3,3,0,47,142828
72735,Sales & Marketing,9,Master's & above,m,sourcing,1,37,5,3,0,47,86350
5362,Sales & Marketing,9,Master's & above,m,other,1,32,3,7,0,47,88999
9405,Sales & Marketing,9,Master's & above,m,other,1,30,2,4,0,48,50760
67307,Sales & Marketing,9,Master's & above,m,other,1,28,5,1,0,49,103413
28382,Sales & Marketing,9,Master's & above,m,sourcing,1,31,2,2,0,49,88753
46236,Sales & Marketing,9,Master's & above,m,sourcing,1,30,1,3,0,49,97400
43593,Sales & Marketing,9,Master's & above,m,sourcing,1,31,3,4,0,49,65539
70958,Sales & Marketing,9,Master's & above,f,other,1,33,3,4,0,49,53550
78162,Sales & Marketing,9,Master's & above,m,other,1,30,3,4,0,49,146244
46191,Sales & Marketing,9,Master's & above,m,sourcing,1,27,5,5,1,49,89225
22298,Sales & Marketing,9,Master's & above,m,other,1,28,1,2,0,50,122561
17233,Sales & Marketing,9,Master's & above,m,other,2,32,1,4,0,50,127234
75690,Sales & Marketing,9,Master's & above,m,other,1,37,3,4,0,50,62495
20079,Sales & Marketing,9,Master's & above,m,other,1,31,2,7,0,50,113106
30760,Sales & Marketing,9,Master's & above,m,other,1,32,4,7,0,50,66450
54277,Sales & Marketing,9,Master's & above,m,sourcing,1,32,4,9,0,50,89172
12095,Sales & Marketing,9,Master's & above,f,other,1,33,1,2,0,51,83170
45792,Sales & Marketing,9,Master's & above,m,sourcing,1,30,3,2,0,51,144241
22054,Sales & Marketing,9,Master's & above,m,other,1,33,3,5,0,51,55893
57199,Sales & Marketing,9,Master's & above,m,sourcing,1,33,1,9,0,51,131106
17420,Sales & Marketing,9,Master's & above,m,other,1,31,3,9,0,51,143475
76463,Sales & Marketing,9,Master's & above,m,sourcing,2,30,3,2,0,52,59841
28962,Sales & Marketing,9,Master's & above,m,other,1,31,4,2,0,52,129329
14864,Sales & Marketing,9,Master's & above,m,sourcing,1,28,2,4,0,52,135805
18914,Sales & Marketing,9,Master's & above,m,sourcing,1,32,2,5,0,52,141111
71726,Sales & Marketing,9,Master's & above,m,other,1,34,3,8,0,52,143702
61667,Sales & Marketing,9,Master's & above,m,other,1,27,3,3,0,54,60369
6846,Sales & Marketing,9,Master's & above,m,other,1,31,2,4,0,54,101477
45438,Sales & Marketing,9,Master's & above,m,other,1,38,3,4,0,54,58360
66584,Operations,9,Master's & above,m,sourcing,1,29,3,3,0,61,82405
66444,Legal,9,Master's & above,m,other,1,34,3,9,0,64,272554
50962,Analytics,9,Master's & above,m,sourcing,2,30,3,4,0,78,134394
4163,Analytics,9,Master's & above,m,sourcing,2,29,4,1,0,79,88148
43324,Analytics,9,Master's & above,f,sourcing,2,31,4,7,0,82,64209
